Date,Time,S&P,Dow_Jones,NASDAQ,Skype（Microsoft）,Cisco,Facebook,Trading_Volume,Prev_Avg_Price,True_Price,,From 2019.4.18 11:30 To 2020.4.17 16:00,,,Pre_Avg_Price: Average Open Stock Price of Zoom one hour earlier,,
2019/07/03,2019/07/03 15:30,,,,136.17,55.12,197.20,1809,90.45,90.45,,,,,,,
2019/07/03,2019/07/03 16:00,,,,136.17,55.12,197.20,1164648,90.45,90.45,,,,,,,
2019/07/05,2019/07/05 10:30,2972.21,26783.67,8102.64,134.61,54.56,194.38,416356,90.45,88.49,,,,,,,
2019/07/05,2019/07/05 11:30,2978.00,26832.64,8122.27,134.90,54.74,195.11,171568,88.49,89.67,,,,,,,
2019/07/05,2019/07/05 12:30,2982.64,26900.28,8131.43,134.92,55.01,195.79,311735,89.73,90.00,,,,,,,
2019/07/05,2019/07/05 13:30,2987.84,26924.78,8154.25,135.41,55.22,196.20,105921,89.98,90.36,,,,,,,
2019/07/05,2019/07/05 14:30,2989.32,26918.86,8156.96,135.69,55.15,196.26,117689,90.40,91.56,,,,,,,
2019/07/05,2019/07/05 15:30,2992.01,26933.78,8166.42,135.94,55.34,196.93,176408,91.56,91.94,,,,,,,
2019/07/05,2019/07/05 16:00,2990.41,26922.12,8161.79,135.77,55.24,196.40,1278822,91.95,91.88,,,,,,,
2019/07/08,2019/07/08 10:30,2975.07,26801.11,,134.64,54.71,194.24,355658,91.88,91.77,,,,,,,
2019/07/08,2019/07/08 11:30,2974.98,26795.18,,135.03,54.97,194.94,140836,91.88,91.15,,,,,,,
2019/07/08,2019/07/08 12:30,2972.30,26779.28,,134.96,54.85,194.73,116564,91.15,90.88,,,,,,,
2019/07/08,2019/07/08 13:30,2974.11,26794.08,,135.27,54.91,195.24,109347,90.88,90.29,,,,,,,
2019/07/08,2019/07/08 14:30,2972.99,26785.02,,135.43,54.93,196.16,117271,90.29,90.31,,,,,,,
2019/07/08,2019/07/08 15:30,2976.82,26817.09,,135.69,54.95,196.09,97635,90.25,90.43,,,,,,,
2019/07/08,2019/07/08 16:00,2975.95,26806.14,,135.67,54.84,195.76,854058,90.44,90.76,,,,,,,
2019/07/09,2019/07/09 10:30,2970.53,26703.31,8100.57,134.94,55.03,197.20,274399,90.76,89.31,,,,,,,
